number,name,a,b,mode,class,c
4966,譜瑞-KY,KYG6892A1085,2011/9/13,上櫃,半導體業,ESVUFR
4971,IET-KY,KYG480071011,2013/7/24,上櫃,半導體業,ESVUFR
4972,湯石照明,TW0004972005,2013/6/17,上櫃,光電業,ESVUFR
4973,廣穎,TW0004973003,2012/6/19,上櫃,半導體業,ESVUFR
4974,亞泰,TW0004974001,2011/11/29,上櫃,電子零組件業,ESVUFR
4979,華星光,TW0004979000,2011/12/12,上櫃,通信網路業,ESVUFR
4987,科誠,TW0004987003,2012/3/21,上櫃,電腦及週邊設備業,ESVUFR
4991,環宇-KY,KYG377541019,2014/9/15,上櫃,半導體業,ESVUFR
4995,晶達,TW0004995006,2012/5/9,上櫃,光電業,ESVUFR
5009,榮剛,TW0005009005,1998/10/17,上櫃,鋼鐵工業,ESVUFR
5011,久陽,TW0005011001,1999/5/6,上櫃,鋼鐵工業,ESVUFR
5013,強新,TW0005013007,2000/5/8,上櫃,鋼鐵工業,ESVUFR
5014,建錩,TW0005014005,2001/2/15,上櫃,鋼鐵工業,ESVUFR
5015,華祺,TW0005015002,2000/12/15,上櫃,鋼鐵工業,ESVUFR
5016,松和,TW0005016000,2001/3/5,上櫃,鋼鐵工業,ESVUFR
5102,富強,TW0005102008,2000/10/27,上櫃,橡膠工業,ESVUFR
5201,凱衛,TW0005201008,2000/10/12,上櫃,資訊服務業,ESVUFR
5202,力新,TW0005202006,2000/10/18,上櫃,資訊服務業,ESVUFR
5205,中茂,TW0005205009,2001/5/14,上櫃,其他電子業,ESVUFR
5206,坤悅,TW0005206007,2001/10/8,上櫃,建材營造業,ESVUFR
5209,新鼎,TW0005209001,2002/2/25,上櫃,資訊服務業,ESVUFR
5210,寶碩,TW0005210009,2002/4/25,上櫃,資訊服務業,ESVUFR
5211,蒙恬,TW0005211007,2002/12/23,上櫃,資訊服務業,ESVUFR
5212,凌網,TW0005212005,2003/3/24,上櫃,資訊服務業,ESVUFR
5213,亞昕,TW0005213003,2003/4/24,上櫃,建材營造業,ESVUFR
5220,萬達光電,TW0005220008,2018/4/26,上櫃,光電業,ESVUFR
5223,安力-KY,KYG0458G1047,2018/7/2,上櫃,電腦及週邊設備業,ESVUFR
5227,立凱-KY,KYG0100G1064,2013/12/9,上櫃,電子零組件業,ESVUFR
5230,雷笛克光學,TW0005230007,2012/6/5,上櫃,光電業,ESVUFR
5245,智晶,TW0005245005,2015/5/25,上櫃,光電業,ESVUFR
5251,天鉞電,TW0005251003,2012/11/26,上櫃,光電業,ESVUFR
5263,智崴,TW0005263008,2012/12/18,上櫃,文化創意業,ESVUFR
5272,笙科,TW0005272009,2013/5/30,上櫃,半導體業,ESVUFR
5274,信驊,TW0005274005,2013/4/30,上櫃,半導體業,ESVUFR
5276,達輝-KY,KYG2743W1006,2014/6/12,上櫃,其他業,ESVUFR
5278,尚凡,TW0005278006,2013/6/4,上櫃,電子商務,ESVUFR
5281,大峽谷-KY,KYG853901059,2016/3/30,上櫃,光電業,ESVUFR
5287,數字,TW0005287007,2014/1/20,上櫃,電子商務,ESVUFR
5289,宜鼎,TW0005289003,2013/11/27,上櫃,電腦及週邊設備業,ESVUFR
5291,邑昇,TW0005291009,2014/12/23,上櫃,電子零組件業,ESVUFR
5299,杰力,TW0005299002,2018/1/23,上櫃,半導體業,ESVUFR
5301,寶得利,TW0005301006,1990/6/25,上櫃,觀光事業,ESVUFR
5302,太欣,TW0005302004,1991/1/17,上櫃,半導體業,ESVUFR
5306,桂盟,TW0005306005,1995/12/26,上櫃,其他業,ESVUFR
5309,系統電,TW0005309009,1996/3/18,上櫃,電子零組件業,ESVUFR
5310,天剛,TW0005310007,1996/4/9,上櫃,資訊服務業,ESVUFR
5312,寶島科,TW0005312003,1996/5/25,上櫃,生技醫療業,ESVUFR
5314,世紀,TW0005314009,1996/9/16,上櫃,半導體業,ESVUFR
5315,光聯,TW0005315006,1996/11/2,上櫃,光電業,ESVUFR
5321,友銓,TW0005321004,1996/12/30,上櫃,電子零組件業,ESVUFR
5324,士開,TW0005324008,1997/1/30,上櫃,建材營造業,ESVUFR
5328,華容,TW0005328009,1997/8/28,上櫃,電子零組件業,ESVUFR
5340,建榮,TW0005340004,1998/1/20,上櫃,電子零組件業,ESVUFR
5344,立衛,TW0005344006,1998/3/23,上櫃,半導體業,ESVUFR
5345,天揚,TW0005345003,1998/3/23,上櫃,其他業,ESVUFR
5347,世界,TW0005347009,1998/3/25,上櫃,半導體業,ESVUFR
5348,系通,TW0005348007,1998/4/29,上櫃,通信網路業,ESVUFR
5351,鈺創,TW0005351001,1998/5/15,上櫃,半導體業,ESVUFR
5353,台林,TW0005353007,1998/5/18,上櫃,通信網路業,ESVUFR
5355,佳總,TW0005355002,1998/6/23,上櫃,電子零組件業,ESVUFR
5356,協益,TW0005356000,1998/7/20,上櫃,電腦及週邊設備業,ESVUFR
5364,力麗店,TW0005364004,2013/8/26,上櫃,觀光事業,ESVUFR
5371,中光電,TW0005371009,1999/1/20,上櫃,光電業,ESVUFR
5381,合正,TW0005381008,1999/3/19,上櫃,電子零組件業,ESVUFR
5383,金利,TW0005383004,1999/4/14,上櫃,其他電子業,ESVUFR
5386,青雲,TW0005386007,1999/5/13,上櫃,電腦及週邊設備業,ESVUFR
5392,應華,TW0005392005,1999/6/14,上櫃,光電業,ESVUFR
5398,慕康生醫,TW0005398002,1999/10/11,上櫃,其他業,ESVUFR
5403,中菲,TW0005403000,1999/10/15,上櫃,資訊服務業,ESVUFR
5410,國眾,TW0005410005,1999/11/26,上櫃,資訊服務業,ESVUFR
5425,台半,TW0005425003,2000/2/21,上櫃,半導體業,ESVUFR
5426,振發,TW0005426001,2000/2/9,上櫃,電腦及週邊設備業,ESVUFR
5432,達威,TW0005432009,2000/3/21,上櫃,光電業,ESVUFR
5438,東友,TW0005438006,2000/6/17,上櫃,電腦及週邊設備業,ESVUFR
5439,高技,TW0005439004,2000/6/26,上櫃,電子零組件業,ESVUFR
5443,均豪,TW0005443006,1998/2/9,上櫃,光電業,ESVUFR
5450,南良,TW0005450001,2020/6/1,上櫃,其他業,ESVUFR
5452,佶優,TW0005452007,2000/10/2,上櫃,其他電子業,ESVUFR
5455,昇益,TW0005455000,2000/10/19,上櫃,建材營造業,ESVUFR
5457,宣德,TW0005457006,2000/9/29,上櫃,電子零組件業,ESVUFR
5460,同協,TW0005460000,2000/9/28,上櫃,電子零組件業,ESVUFR
5464,霖宏,TW0005464002,2000/11/8,上櫃,電子零組件業,ESVUFR
5465,富驊,TW0005465009,2000/11/8,上櫃,電腦及週邊設備業,ESVUFR
5468,凱鈺,TW0005468003,2001/1/17,上櫃,半導體業,ESVUFR
5474,聰泰,TW0005474001,2001/3/20,上櫃,電腦及週邊設備業,ESVUFR
5475,德宏,TW0005475008,2001/1/16,上櫃,電子零組件業,ESVUFR
5478,智冠,TW0005478002,2001/3/29,上櫃,文化創意業,ESVUFR
5481,新華,TW0005481006,2020/6/1,上櫃,其他業,ESVUFR
5483,中美晶,TW0005483002,2001/3/2,上櫃,半導體業,ESVUFR
5487,通泰,TW0005487003,2001/2/20,上櫃,半導體業,ESVUFR
5488,松普,TW0005488001,2001/3/12,上櫃,電子零組件業,ESVUFR
5489,彩富,TW0005489009,2001/3/12,上櫃,其他電子業,ESVUFR
5490,同亨,TW0005490007,2001/5/14,上櫃,電腦及週邊設備業,ESVUFR
5493,三聯,TW0005493001,2001/5/3,上櫃,其他電子業,ESVUFR
5498,凱崴,TW0005498000,2001/3/29,上櫃,電子零組件業,ESVUFR
5508,永信建,TW0005508006,1998/5/13,上櫃,建材營造業,ESVUFR
5511,德昌,TW0005511000,1998/12/9,上櫃,建材營造業,ESVUFR
5512,力麒,TW0005512008,1998/12/4,上櫃,建材營造業,ESVUFR
5514,三豐,TW0005514004,1998/12/29,上櫃,建材營造業,ESVUFR
5516,雙喜,TW0005516009,1999/3/23,上櫃,建材營造業,ESVUFR
5520,力泰,TW0005520001,1999/10/27,上櫃,建材營造業,ESVUFR
5523,豐謙,TW0005523005,1999/12/27,上櫃,建材營造業,ESVUFR
5529,志嘉,TW0005529002,1996/1/12,上櫃,建材營造業,ESVUFR
5530,龍巖,TW0005530000,2000/10/4,上櫃,其他業,ESVUFR
5536,聖暉,TW0005536007,2010/11/10,上櫃,其他電子業,ESVUFR
5543,桓鼎-KY,KYG1676E1035,2016/5/9,上櫃,建材營造業,ESVUFR
5601,台聯櫃,TW0005601009,1994/11/24,上櫃,航運業,ESVUFR
5603,陸海,TW0005603005,1997/1/25,上櫃,航運業,ESVUFR
5604,中連貨,TW0005604003,1997/5/22,上櫃,其他業,ESVUFR
5609,中菲行,TW0005609002,2001/10/15,上櫃,航運業,ESVUFR
5701,劍湖山,TW0005701007,1998/3/12,上櫃,觀光事業,ESVUFR
5703,亞都,TW0005703003,1999/6/15,上櫃,觀光事業,ESVUFR
5704,老爺知,TW0005704001,1999/12/21,上櫃,觀光事業,ESVUFR
5820,日盛金,TW0005820005,2002/2/5,上櫃,金融保險業,ESVUFR
5864,致和證,TW0005864003,2018/4/2,上櫃,金融保險業,ESVUFR
5878,台名,TW0005878003,2014/10/28,上櫃,金融保險業,ESVUFR
5902,德記,TW0005902001,1998/2/7,上櫃,貿易百貨業,ESVUFR
5903,全家,TW0005903009,2002/2/25,上櫃,貿易百貨業,ESVUFR
5904,寶雅,TW0005904007,2002/9/6,上櫃,貿易百貨業,ESVUFR
5905,南仁湖,TW0005905004,2003/6/17,上櫃,貿易百貨業,ESVUFR
6015,宏遠證,TW0006015001,1996/7/25,上櫃,金融保險業,ESVUFR
6016,康和證,TW0006016009,1996/12/4,上櫃,金融保險業,ESVUFR
6020,大展證,TW0006020001,2003/1/23,上櫃,金融保險業,ESVUFR
6021,大慶證,TW0006021009,2003/4/21,上櫃,金融保險業,ESVUFR
6023,元大期,TW0006023005,2007/11/28,上櫃,金融保險業,ESVUFR
6026,福邦證,TW0006026008,2016/1/27,上櫃,金融保險業,ESVUFR
6101,寬魚國際,TW0006101009,2001/3/29,上櫃,文化創意業,ESVUFR
6103,合邦,TW0006103005,2001/5/7,上櫃,半導體業,ESVUFR
6104,創惟,TW0006104003,2001/5/22,上櫃,半導體業,ESVUFR
6109,亞元,TW0006109002,2001/7/26,上櫃,通信網路業,ESVUFR
6111,大宇資,TW0006111008,2001/8/8,上櫃,文化創意業,ESVUFR
6113,亞矽,TW0006113004,2001/8/10,上櫃,電子通路業,ESVUFR
6114,久威,TW0006114002,2001/9/27,上櫃,電子零組件業,ESVUFR
6118,建達,TW0006118003,2001/10/25,上櫃,電子通路業,ESVUFR
6121,新普,TW0006121007,2001/11/27,上櫃,電腦及週邊設備業,ESVUFR
6122,擎邦,TW0006122005,2000/7/14,上櫃,電機機械,ESVUFR
6123,上奇,TW0006123003,2002/1/23,上櫃,電腦及週邊設備業,ESVUFR
6124,業強,TW0006124001,2002/3/19,上櫃,電子零組件業,ESVUFR
6125,廣運,TW0006125008,2002/1/23,上櫃,光電業,ESVUFR
6126,信音,TW0006126006,2002/1/18,上櫃,電子零組件業,ESVUFR
6127,九豪,TW0006127004,2002/1/10,上櫃,電子零組件業,ESVUFR
6129,普誠,TW0006129000,2001/12/25,上櫃,半導體業,ESVUFR
6130,星寶國際,TW0006130008,2002/3/26,上櫃,生技醫療業,ESVUFR
6134,萬旭,TW0006134000,2002/1/8,上櫃,電子零組件業,ESVUFR
6138,茂達,TW0006138001,2002/1/18,上櫃,半導體業,ESVUFR
6140,訊達,TW0006140007,2002/2/4,上櫃,資訊服務業,ESVUFR
6143,振曜,TW0006143001,2002/1/28,上櫃,通信網路業,ESVUFR
6144,得利影,TW0006144009,2002/1/23,上櫃,文化創意業,ESVUFR
6146,耕興,TW0006146004,2002/1/23,上櫃,其他電子業,ESVUFR
6147,頎邦,TW0006147002,2002/1/31,上櫃,半導體業,ESVUFR
6148,驊宏資,TW0006148000,2002/2/1,上櫃,資訊服務業,ESVUFR
6150,撼訊,TW0006150006,2002/3/11,上櫃,電腦及週邊設備業,ESVUFR
6151,晉倫,TW0006151004,2002/2/25,上櫃,其他電子業,ESVUFR
6154,順發,TW0006154008,2002/2/18,上櫃,電子通路業,ESVUFR
6156,松上,TW0006156003,2002/2/19,上櫃,電子零組件業,ESVUFR
6158,禾昌,TW0006158009,2002/2/19,上櫃,電子零組件業,ESVUFR
6160,欣技,TW0006160005,2002/3/1,上櫃,電腦及週邊設備業,ESVUFR
6161,捷波,TW0006161003,2002/3/1,上櫃,電腦及週邊設備業,ESVUFR
6163,華電網,TW0006163009,2002/3/19,上櫃,通信網路業,ESVUFR
6167,久正,TW0006167000,2002/3/26,上櫃,光電業,ESVUFR
6169,昱泉,TW0006169006,2002/3/22,上櫃,文化創意業,ESVUFR
6170,統振,TW0006170004,2002/4/16,上櫃,通信網路業,ESVUFR
6171,亞銳士,TW0006171002,2002/4/22,上櫃,建材營造業,ESVUFR
6173,信昌電,TW0006173008,2002/4/19,上櫃,電子零組件業,ESVUFR
6174,安碁,TW0006174006,2002/5/2,上櫃,電子零組件業,ESVUFR
6175,立敦,TW0006175003,2002/6/10,上櫃,電子零組件業,ESVUFR
6179,亞通,TW0006179005,2002/5/17,上櫃,其他業,ESVUFR
6180,橘子,TW0006180003,2002/5/21,上櫃,文化創意業,ESVUFR
6182,合晶,TW0006182009,2002/5/16,上櫃,半導體業,ESVUFR
6185,幃翔,TW0006185002,2002/8/9,上櫃,電子零組件業,ESVUFR
6186,新潤,TW0006186000,2002/8/2,上櫃,建材營造業,ESVUFR
6187,萬潤,TW0006187008,2002/9/27,上櫃,其他電子業,ESVUFR
6188,廣明,TW0006188006,2002/8/27,上櫃,電腦及週邊設備業,ESVUFR
6190,萬泰科,TW0006190002,1998/2/4,上櫃,通信網路業,ESVUFR
6194,育富,TW0006194004,2002/12/5,上櫃,電子零組件業,ESVUFR
6195,詩肯,TW0006195001,2002/10/21,上櫃,貿易百貨業,ESVUFR
6198,凌泰,TW0006198005,2002/12/26,上櫃,半導體業,ESVUFR
6199,天品,TW0006199003,2016/10/7,上櫃,其他業,ESVUFR
6203,海韻電,TW0006203003,2002/12/26,上櫃,電子零組件業,ESVUFR
6204,艾華,TW0006204001,2002/11/13,上櫃,電子零組件業,ESVUFR
6207,雷科,TW0006207004,2002/12/23,上櫃,電子零組件業,ESVUFR
6208,日揚,TW0006208002,2002/12/23,上櫃,電子零組件業,ESVUFR
6210,慶生,TW0006210008,2003/2/14,上櫃,電子零組件業,ESVUFR
6212,理銘,TW0006212004,2002/12/26,上櫃,建材營造業,ESVUFR
6217,中探針,TW0006217003,2003/1/9,上櫃,電子零組件業,ESVUFR
6218,豪勉,TW0006218001,2003/1/14,上櫃,通信網路業,ESVUFR
6219,富旺,TW0006219009,2003/2/26,上櫃,建材營造業,ESVUFR
6220,岳豐,TW0006220007,2003/1/9,上櫃,電子零組件業,ESVUFR
6221,晉泰,TW0006221005,2003/1/6,上櫃,資訊服務業,ESVUFR
6222,上揚,TW0006222003,2003/1/9,上櫃,光電業,ESVUFR
6223,旺矽,TW0006223001,2003/1/6,上櫃,半導體業,ESVUFR
6227,茂綸,TW0006227002,2003/1/14,上櫃,電子通路業,ESVUFR
6228,全譜,TW0006228000,2003/1/21,上櫃,電腦及週邊設備業,ESVUFR
6229,研通,TW0006229008,2003/1/14,上櫃,半導體業,ESVUFR
6231,系微,TW0006231004,2003/1/23,上櫃,資訊服務業,ESVUFR
6233,旺玖,TW0006233000,2003/2/20,上櫃,半導體業,ESVUFR
6234,高僑,TW0006234008,2003/3/12,上櫃,光電業,ESVUFR
6236,康呈,TW0006236003,2003/3/31,上櫃,其他業,ESVUFR
6237,驊訊,TW0006237001,2003/4/21,上櫃,半導體業,ESVUFR
6240,松崗,TW0006240005,2003/5/30,上櫃,其他業,ESVUFR
6241,易通展,TW0006241003,2003/4/8,上櫃,通信網路業,ESVUFR
6242,立康,TW0006242001,2003/4/23,上櫃,生技醫療業,ESVUFR
6244,茂迪,TW0006244007,2003/5/15,上櫃,光電業,ESVUFR
6245,立端,TW0006245004,2003/5/19,上櫃,通信網路業,ESVUFR
6246,臺龍,TW0006246002,2003/6/18,上櫃,光電業,ESVUFR
6247,淇譽電,TW0006247000,2003/7/4,上櫃,其他電子業,ESVUFR
6248,沛波,TW0006248008,2003/9/3,上櫃,鋼鐵工業,ESVUFR
6259,百徽,TW0006259005,2003/9/17,上櫃,電子零組件業,ESVUFR
6261,久元,TW0006261001,2004/3/29,上櫃,半導體業,ESVUFR
6263,普萊德,TW0006263007,2003/9/17,上櫃,通信網路業,ESVUFR
6264,富裔,TW0006264005,2004/2/24,上櫃,建材營造業,ESVUFR
6265,方土昶,TW0006265002,2003/10/24,上櫃,電子通路業,ESVUFR
6266,泰詠,TW0006266000,2004/4/29,上櫃,電子零組件業,ESVUFR
6270,倍微,TW0006270002,2003/9/17,上櫃,電子通路業,ESVUFR
6274,台燿,TW0006274004,2003/12/18,上櫃,電子零組件業,ESVUFR
6275,元山,TW0006275001,2004/12/23,上櫃,電子零組件業,ESVUFR
6276,安鈦克,TW0006276009,2003/10/30,上櫃,電腦及週邊設備業,ESVUFR
6279,胡連,TW0006279003,2003/11/26,上櫃,電子零組件業,ESVUFR
6284,佳邦,TW0006284003,2004/6/29,上櫃,電子零組件業,ESVUFR
6287,元隆,TW0006287006,2003/10/2,上櫃,半導體業,ESVUFR
6290,良維,TW0006290000,2005/6/3,上櫃,電子零組件業,ESVUFR
6291,沛亨,TW0006291008,2004/1/28,上櫃,半導體業,ESVUFR
6292,迅德,TW0006292006,2003/11/26,上櫃,電子零組件業,ESVUFR
6294,智基,TW0006294002,2004/1/13,上櫃,文化創意業,ESVUFR
6404,通訊-KY,KYG211281061,2014/7/23,上櫃,資訊服務業,ESVUFR
6411,晶焱,TW0006411002,2014/3/11,上櫃,半導體業,ESVUFR
6417,韋僑,TW0006417009,2015/10/8,上櫃,通信網路業,ESVUFR
6418,詠昇,TW0006418007,2019/2/18,上櫃,電子零組件業,ESVUFR
6419,京晨科,TW0006419005,2014/12/29,上櫃,光電業,ESVUFR
6425,易發,TW0006425002,2019/1/18,上櫃,電機機械,ESVUFR
6432,今展科,TW0006432008,2015/5/20,上櫃,電子零組件業,ESVUFR
6435,大中,TW0006435001,2016/1/7,上櫃,半導體業,ESVUFR
6441,廣錠,TW0006441009,2017/9/27,上櫃,電腦及週邊設備業,ESVUFR
6446,藥華藥,TW0006446008,2016/7/19,上櫃,生技醫療業,ESVUFR
6457,紘康,TW0006457005,2015/6/12,上櫃,半導體業,ESVUFR
6461,益得,TW0006461007,2018/3/28,上櫃,生技醫療業,ESVUFR
6462,神盾,TW0006462005,2015/12/23,上櫃,半導體業,ESVUFR
6465,威潤,TW0006465008,2015/11/20,上櫃,通信網路業,ESVUFR
6469,大樹,TW0006469000,2016/3/30,上櫃,生技醫療業,ESVUFR
6470,宇智,TW0006470008,2015/11/3,上櫃,通信網路業,ESVUFR
6472,保瑞,TW0006472004,2017/4/19,上櫃,生技醫療業,ESVUFR
6482,弘煜科,TW0006482003,2016/6/13,上櫃,文化創意業,ESVUFR
6485,點序,TW0006485006,2015/11/17,上櫃,半導體業,ESVUFR
6486,互動,TW0006486004,2016/9/13,上櫃,通信網路業,ESVUFR
6488,環球晶,TW0006488000,2015/9/25,上櫃,半導體業,ESVUFR
6492,生華科,TW0006492002,2017/4/24,上櫃,生技醫療業,ESVUFR
6494,九齊,TW0006494008,2016/5/9,上櫃,半導體業,ESVUFR
6496,科懋,TW0006496003,2016/1/7,上櫃,生技醫療業,ESVUFR
6499,益安,TW0006499007,2016/7/27,上櫃,生技醫療業,ESVUFR
6506,雙邦,TW0006506009,2011/5/3,上櫃,紡織纖維,ESVUFR
6508,惠光,TW0006508005,2004/3/22,上櫃,農業科技業,ESVUFR
6509,聚和,TW0006509003,2004/4/12,上櫃,化學工業,ESVUFR
6510,精測,TW0006510001,2016/3/24,上櫃,半導體業,ESVUFR
6512,啟發電,TW0006512007,2016/3/25,上櫃,其他電子業,ESVUFR
6514,芮特-KY,KYG734231080,2015/12/2,上櫃,通信網路業,ESVUFR
6516,勤崴國際,TW0006516008,2019/5/6,上櫃,資訊服務業,ESVUFR
6523,達爾膚,TW0006523004,2016/6/16,上櫃,生技醫療業,ESVUFR
6527,明達醫,TW0006527005,2019/12/25,上櫃,生技醫療業,ESVUFR
6530,創威,TW0006530009,2018/1/23,上櫃,通信網路業,ESVUFR
6532,瑞耘,TW0006532005,2016/9/26,上櫃,半導體業,ESVUFR
6535,順藥,TW0006535008,2016/9/26,上櫃,生技醫療業,ESVUFR
6538,倉和,TW0006538002,2016/10/21,上櫃,電子零組件業,ESVUFR
6542,隆中,TW0006542004,2016/9/8,上櫃,文化創意業,ESVUFR
6547,高端疫苗,TW0006547003,2018/4/17,上櫃,生技醫療業,ESVUFR
6548,長科*,TW0006548001,2016/9/13,上櫃,半導體業,ESVUFR
6556,勝品,TW0006556004,2017/10/31,上櫃,光電業,ESVUFR
6560,欣普羅,TW0006560006,2017/1/24,上櫃,光電業,ESVUFR
6561,是方,TW0006561004,2018/6/5,上櫃,通信網路業,ESVUFR
6568,宏觀,TW0006568009,2016/12/28,上櫃,半導體業,ESVUFR
6569,醫揚,TW0006569007,2016/12/21,上櫃,生技醫療業,ESVUFR
6570,維田,TW0006570005,2017/12/11,上櫃,電腦及週邊設備業,ESVUFR
6574,霈方,TW0006574007,2017/9/4,上櫃,生技醫療業,ESVUFR
6576,逸達,TW0006576002,2018/6/29,上櫃,生技醫療業,ESVUFR
6577,勁豐,TW0006577000,2017/3/21,上櫃,電腦及週邊設備業,ESVUFR
6578,達邦蛋白,TW0006578008,2018/9/18,上櫃,農業科技業,ESVUFR
6588,東典光電,TW0006588007,2020/7/1,上櫃,通信網路業,ESVUFR
6589,台康生技,TW0006589005,2019/6/28,上櫃,生技醫療業,ESVUFR
6590,普鴻,TW0006590003,2018/12/24,上櫃,資訊服務業,ESVUFR
6593,台灣銘板,TW0006593007,2017/11/3,上櫃,資訊服務業,ESVUFR
6594,展匯科,TW0006594005,2017/4/28,上櫃,半導體業,ESVUFR
6596,寬宏藝術,TW0006596000,2018/1/4,上櫃,文化創意業,ESVUFR
6603,富強鑫,TW0006603004,2004/4/5,上櫃,電機機械,ESVUFR
6609,瀧澤科,TW0006609001,2003/9/23,上櫃,電機機械,ESVUFR
6612,奈米醫材,TW0006612005,2018/7/18,上櫃,生技醫療業,ESVUFR
6613,朋億,TW0006613003,2017/12/28,上櫃,其他電子業,ESVUFR
6615,慧智,TW0006615008,2018/1/22,上櫃,生技醫療業,ESVUFR
6616,特昇-KY,KYG870931030,2018/1/10,上櫃,其他業,ESVUFR
6624,萬年清,TW0006624000,2019/5/28,上櫃,其他業,ESVUFR
6629,泰金-KY,KYG877791072,2019/6/6,上櫃,其他業,ESVUFR
6640,均華,TW0006640006,2018/10/23,上櫃,半導體業,ESVUFR
6642,富致,TW0006642002,2019/9/23,上櫃,電子零組件業,ESVUFR
6643,M31,TW0006643000,2019/1/23,上櫃,半導體業,ESVUFR
6649,台生材,TW0006649007,2019/6/5,上櫃,生技醫療業,ESVUFR
6651,全宇昕,TW0006651003,2021/2/1,上櫃,半導體業,ESVUFR
6654,天正國際,TW0006654007,2018/10/23,上櫃,其他電子業,ESVUFR
6661,威健生技,TW0006661002,2021/1/27,上櫃,生技醫療業,ESVUFR
6662,樂斯科,TW0006662000,2019/3/26,上櫃,生技醫療業,ESVUFR
6664,群翊,TW0006664006,2018/9/12,上櫃,電子零組件業,ESVUFR
6667,信紘科,TW0006667009,2018/11/13,上櫃,其他電子業,ESVUFR
6679,鈺太,TW0006679004,2019/5/9,上櫃,半導體業,ESVUFR
6680,鑫創電子,TW0006680002,2019/9/16,上櫃,電腦及週邊設備業,ESVUFR
6683,雍智科技,TW0006683006,2019/4/23,上櫃,半導體業,ESVUFR
6690,安碁資訊,TW0006690001,2019/10/30,上櫃,資訊服務業,ESVUFR
6697,東捷資訊,TW0006697006,2019/12/26,上櫃,資訊服務業,ESVUFR
6703,軒郁,TW0006703002,2020/10/20,上櫃,生技醫療業,ESVUFR
6712,長聖,TW0006712003,2021/1/8,上櫃,生技醫療業,ESVUFR
6716,應廣,TW0006716004,2020/3/27,上櫃,半導體業,ESVUFR
6727,亞泰金屬,TW0006727001,2020/12/1,上櫃,電子零組件業,ESVUFR
6728,上洋,TW0006728009,2020/12/25,上櫃,貿易百貨業,ESVUFR
6732,昇佳電子,TW0006732001,2020/6/8,上櫃,半導體業,ESVUFR
6733,博晟生醫,TW0006733009,2021/1/28,上櫃,生技醫療業,ESVUFR
6741,91APP*-KY,KYG6525T1022,2021/5/25,上櫃,電子商務,ESVUFR
6747,亨泰光,TW0006747009,2021/1/19,上櫃,生技醫療業,ESVUFR
6751,智聯服務,TW0006751001,2020/12/25,上櫃,資訊服務業,ESVUFR
6752,叡揚,TW0006752009,2020/12/10,上櫃,資訊服務業,ESVUFR
6762,達亞,TW0006762008,2020/12/18,上櫃,生技醫療業,ESVUFR
6767,台微醫,TW0006767007,2021/1/25,上櫃,生技醫療業,ESVUFR
6803,崑鼎,TW0006803000,2010/5/27,上櫃,其他業,ESVUFR
7402,邑錡,TW0007402000,2015/12/29,上櫃,光電業,ESVUFR
7556,意德士,TW0007556B10,2020/10/30,上櫃,半導體業,ESVUFR
8024,佑華,TW0008024001,2006/9/25,上櫃,半導體業,ESVUFR
8027,鈦昇,TW0008027004,2015/6/9,上櫃,電機機械,ESVUFR
8032,光菱,TW0008032004,2003/10/2,上櫃,電子通路業,ESVUFR
8034,榮群,TW0008034000,2004/5/6,上櫃,通信網路業,ESVUFR
8038,長園科,TW0008038001,2013/11/21,上櫃,電子零組件業,ESVUFR
8040,九暘,TW0008040007,2007/4/30,上櫃,半導體業,ESVUFR
8042,金山電,TW0008042003,2004/3/22,上櫃,電子零組件業,ESVUFR
8043,蜜望實,TW0008043001,2003/10/24,上櫃,電子零組件業,ESVUFR
8044,網家,TW0008044009,2005/1/24,上櫃,電子商務,ESVUFR
8047,星雲,TW0008047002,2004/2/9,上櫃,其他電子業,ESVUFR
8048,德勝,TW0008048000,2009/9/8,上櫃,通信網路業,ESVUFR
8049,晶采,TW0008049008,2004/2/2,上櫃,光電業,ESVUFR
8050,廣積,TW0008050006,2003/10/24,上櫃,電腦及週邊設備業,ESVUFR
8054,安國,TW0008054008,2004/11/8,上櫃,半導體業,ESVUFR
8059,凱碩,TW0008059007,2010/3/16,上櫃,通信網路業,ESVUFR
8064,東捷,TW0008064007,2006/9/25,上櫃,光電業,ESVUFR
8066,來思達,TW0008066002,2004/12/24,上櫃,貿易百貨業,ESVUFR
8067,志旭,TW0008067000,2004/4/23,上櫃,電子通路業,ESVUFR
8068,全達,TW0008068008,2004/3/25,上櫃,電子通路業,ESVUFR
8069,元太,TW0008069006,2004/3/30,上櫃,光電業,ESVUFR
8071,能率網通,TW0008071002,2003/12/29,上櫃,電子零組件業,ESVUFR
8074,鉅橡,TW0008074006,2004/1/27,上櫃,電子零組件業,ESVUFR
8076,伍豐,TW0008076001,2003/12/15,上櫃,電腦及週邊設備業,ESVUFR
8077,洛碁,TW0008077009,2004/12/6,上櫃,觀光事業,ESVUFR
8080,永利聯合,TW0008080003,2021/4/7,上櫃,電子零組件業,ESVUFR
8083,瑞穎,TW0008083007,2004/9/23,上櫃,電機機械,ESVUFR
8084,巨虹,TW0008084005,2004/3/8,上櫃,電子通路業,ESVUFR
8085,福華,TW0008085002,2004/3/1,上櫃,其他電子業,ESVUFR
8086,宏捷科,TW0008086000,2009/6/1,上櫃,半導體業,ESVUFR
8087,華鎂鑫,TW0008087008,2004/2/25,上櫃,光電業,ESVUFR
